salesID,lastSalePrice,lastSaleDate
199,309000.0,2020-07-24T00:00:00.000Z
200,33000.0,2007-05-04T00:00:00.000Z
201,850000.0,2012-08-16T00:00:00.000Z
202,465000.0,2006-04-19T00:00:00.000Z
203,360000.0,2022-02-17T00:00:00.000Z
204,1299000.0,2020-10-06T00:00:00.000Z
205,0.0,1999-09-10T00:00:00.000Z
206,440000.0,2018-11-02T00:00:00.000Z
207,55600.0,2015-03-05T00:00:00.000Z
208,130000.0,2014-10-09T00:00:00.000Z
209,190000.0,2002-01-17T00:00:00.000Z
210,135000.0,2001-02-15T00:00:00.000Z
211,184302.0,2006-11-09T00:00:00.000Z
212,0.0,2019-01-08T00:00:00.000Z
213,272000.0,2010-09-07T00:00:00.000Z
214,465000.0,2021-03-12T00:00:00.000Z
215,75000.0,1995-02-23T00:00:00.000Z
216,317500.0,2022-12-20T00:00:00.000Z
217,579000.0,2006-03-31T00:00:00.000Z
218,30000.0,2006-12-08T00:00:00.000Z
219,0.0,2022-05-02T00:00:00.000Z
220,199600.0,2018-08-23T00:00:00.000Z
221,73000.0,1998-08-10T00:00:00.000Z
222,175000.0,1993-02-08T00:00:00.000Z
223,149999.0,2022-03-08T00:00:00.000Z
224,52000.0,1984-11-01T00:00:00.000Z
225,335000.0,2022-11-16T00:00:00.000Z
226,390000.0,2012-12-18T00:00:00.000Z
227,200000.0,2009-10-09T00:00:00.000Z
228,285000.0,2021-12-09T00:00:00.000Z
229,220853.0,2022-06-28T00:00:00.000Z
230,325000.0,2020-10-16T00:00:00.000Z
231,1185000.0,2020-06-23T00:00:00.000Z
232,150000.0,2021-08-20T00:00:00.000Z
233,0.0,2020-09-25T00:00:00.000Z
234,550000.0,2021-10-27T00:00:00.000Z
235,49000.0,1983-06-23T00:00:00.000Z
236,183000.0,2019-02-28T00:00:00.000Z
237,414000.0,2018-09-20T00:00:00.000Z
238,269000.0,2021-03-29T00:00:00.000Z
239,210000.0,2019-08-30T00:00:00.000Z
240,267500.0,2008-02-26T00:00:00.000Z
241,210000.0,2010-08-10T00:00:00.000Z
242,222000.0,2024-01-05T00:00:00.000Z
243,149000.0,2014-10-08T00:00:00.000Z
244,507000.0,2021-02-11T00:00:00.000Z
245,136400.0,2011-06-16T00:00:00.000Z
