featuresID,propertyType,bathrooms,bedrooms,architectureType,cooling,coolingType,exteriorType,fireplace,fireplaceType,floorCount,foundationType,garage,garageType,garageSpaces,heating,heatingType,roofType,roomCount,unitCount,pool,poolType,viewType
267,Single Family,1.0,2.0,Unkown,True,Central,Brick / Stone,Unknown,Unknown,1.0,Unknown,True,Detached,1.0,Unknown,Unknown,Shingle,0.0,1.0,Unknown,Unknown,Unknown
268,Single Family,1.0,3.0,Old Style,True,Commercial,Wood,Unknown,Unknown,2.0,Unknown,True,Detached,2.0,Unknown,Unknown,Shingle,0.0,1.0,Unknown,Unknown,Unknown
269,Single Family,2.0,0.0,Unkown,True,Central,Stucco,Unknown,Unknown,1.0,Unknown,True,Attached,2.0,True,Forced Air,Asphalt,0.0,1.0,Unknown,Unknown,Unknown
270,Single Family,2.5,0.0,Townhouse,True,Commercial,Siding,Unknown,Unknown,2.0,Unknown,True,Basement,0.0,True,Forced Air,Composition Shingle,0.0,1.0,Unknown,Unknown,Unknown
271,Single Family,2.0,3.0,Unkown,True,Central,Unknown,Unknown,Unknown,1.0,Slab / Mat / Raft,True,Attached,1.0,True,Forced Air,Asphalt,0.0,0.0,Unknown,Unknown,Unknown
272,Single Family,3.0,4.0,Unkown,Unknown,Unknown,Unknown,True,Unknown,2.0,Unknown,True,Garage,2.0,Unknown,Unknown,Unknown,0.0,0.0,Unknown,Unknown,Unknown
273,Single Family,2.0,2.0,Townhouse,True,Central,Frame Brick,True,Unknown,0.0,Unknown,True,Attached,2.0,True,Gas,Asphalt,0.0,1.0,Unknown,Unknown,Unknown
274,Single Family,3.0,0.0,Unkown,True,Refrigeration,Wood,Unknown,Unknown,2.0,Unknown,True,Garage,2.0,True,Forced Air,Built-up (Layered Asphalt),10.0,1.0,Unknown,Unknown,Unknown
275,Condo,2.5,4.0,Colonial,True,Commercial,Aluminum / Vinyl Siding,True,Single,2.0,Unknown,True,Garage,0.0,True,Gas,Unknown,7.0,1.0,Unknown,Unknown,Unknown
276,Single Family,3.5,5.0,Unkown,True,Central,Brick,True,Unknown,2.0,Unknown,True,Attached Garage,1.0,True,Forced Air,Composition Shingle,9.0,0.0,Unknown,Unknown,Unknown
277,Single Family,2.5,0.0,Unkown,True,Central,Wood,True,Unknown,2.0,Masonry,True,Garage,0.0,True,Central,Metal,0.0,0.0,Unknown,Unknown,Unknown
